Player,Nation,Pos,Squad,Comp,Age,90s,TacklesAttemptedp90,TacklesAttempted,TacklesWonp90,TacklesWon,Def. Duels Attemptedp90,Def. Duels Attempted,Def. Duels Won Perc,Succ Pressure Perc,Def 3rd Pressurep90,Def 3rd Pressure,Mid 3rd Pressurep90,Mid 3rd Pressure,Interceptionsp90,Interceptions,Foulsp90,Fouls,AerialDuels_won,AerialDuels_lost,AerialDuelsAttemptedp90,AerialDuelsPer,TimesDribbledPastp90,TimesDribbledPast,TouchesAttacking3rd
Emerson Palmieri\Emerson-Palmieri,it ITA,DF,Chelsea,eng Premier League,24,11.4,1.93,22,0.61,7,1.14,13,46.2,34.9,3.25,37,5.26,60,1.49,17,0.35,4,17,7,2.11,70.8,0.61,7,345
Jonathan Panzo\Jonathan-Panzo,eng ENG,DF,Monaco,fr Ligue 1,18,1.2,1.67,2,0.83,1,1.67,2,50,33.3,10,12,1.67,2,2.5,3,0,0,2,3,4.17,40,0.83,1,1
Sokratis Papastathopoulos\Sokratis-Papastathopoulos,gr GRE,DF,Arsenal,eng Premier League,31,18.8,1.22,23,0.69,13,1.33,25,44,28.2,6.44,121,2.93,55,0.74,14,1.01,19,53,28,4.31,65.4,0.74,14,39
Andrea Papetti\Andrea-Papetti,it ITA,DF,Brescia,it Serie A,17,10.2,1.57,16,1.18,12,1.57,16,18.8,31.1,9.12,93,5.29,54,1.37,14,1.37,14,11,16,2.65,40.7,1.27,13,13
Gaëtan Paquiez\Gaetan-Paquiez,fr FRA,DF,Nîmes,fr Ligue 1,25,17,3.06,52,1.88,32,4,68,38.2,30.5,7.18,122,8.41,143,1.94,33,1.29,22,22,22,2.59,50,2.47,42,233
Michael Parensen\Michael-Parensen,de GER,DF,Union Berlin,de Bundesliga,33,7,1.71,12,0.86,6,1.57,11,45.5,23.9,5.57,39,4,28,1.86,13,2.29,16,22,14,5.14,61.1,0.86,6,20
Patric\Patric,es ESP,DF,Lazio,it Serie A,26,18.6,1.83,34,0.91,17,1.51,28,57.1,29.9,5.75,107,4.09,76,0.81,15,0.65,12,14,24,2.04,36.8,0.65,12,115
Gabriel Paulista\Gabriel-Paulista,br BRA,DF,Valencia,es La Liga,28,31.1,0.51,16,0.29,9,0.74,23,39.1,35,2.86,89,0.74,23,1.67,52,0.51,16,84,35,3.83,70.6,0.45,14,34
Benjamin Pavard\Benjamin-Pavard,fr FRA,DF,Bayern Munich,de Bundesliga,23,31,1.16,36,0.71,22,1,31,54.8,33.7,3.06,95,3.74,116,1.65,51,1.29,40,73,37,3.55,66.4,0.45,14,615
Mateo Pavlovic\Mateo-Pavlovic,ba BIH,DF,Angers,fr Ligue 1,29,9,0.67,6,0.33,3,1,9,33.3,23.7,4.56,41,1.44,13,0.44,4,1.22,11,39,12,5.67,76.5,0.67,6,18
Nehuén Paz\Nehuen-Paz,ar ARG,DF,Bologna,it Serie A,26,1.3,0.77,1,0.77,1,1.54,2,0,32,9.23,12,9.23,12,3.85,5,4.62,6,6,3,6.92,66.7,1.54,2,4
Nehuén Paz\Nehuen-Paz,ar ARG,DF,Lecce,it Serie A,26,9.4,1.06,10,0.43,4,1.06,10,30,31.1,6.38,60,4.15,39,2.34,22,1.38,13,38,12,5.32,76,0.74,7,16
Mads Pedersen\Mads-Pedersen,dk DEN,DF,Augsburg,de Bundesliga,22,1.1,4.55,5,1.82,2,5.45,6,33.3,19,16.36,18,0.91,1,1.82,2,0,0,0,1,0.91,0,3.64,4,20
Alfonso Pedraza\Alfonso-Pedraza,es ESP,DF,Betis,es La Liga,23,15,2.2,33,1.33,20,2.13,32,40.6,32.3,5,75,5.6,84,1.07,16,1.2,18,17,12,1.93,58.6,1.27,19,253
Pedrosa\Pedrosa,es ESP,DFMF,Espanyol,es La Liga,21,12.1,1.98,24,1.24,15,2.07,25,28,31.1,6.86,83,7.11,86,1.07,13,0.83,10,9,9,1.49,50,1.49,18,195
Peter Pekarík\Peter-Pekarik,sk SVK,DF,Hertha BSC,de Bundesliga,32,8.5,1.65,14,0.59,5,2.47,21,38.1,23.1,5.65,48,3.29,28,0.71,6,0.82,7,13,9,2.59,59.1,1.53,13,134
Luca Pellegrini\Luca-Pellegrini,it ITA,DF,Cagliari,it Serie A,20,21.2,1.79,38,1.27,27,1.7,36,33.3,32.9,6.56,139,3.68,78,0.99,21,1.56,33,19,18,1.75,51.4,1.13,24,414
Théo Pellenard\Theo-Pellenard,fr FRA,DF,Angers,fr Ligue 1,25,5.1,1.37,7,0.59,3,2.35,12,25,30.1,7.25,37,5.88,30,1.18,6,2.55,13,6,2,1.57,75,1.76,9,104
Andy Pelmard\Andy-Pelmard,fr FRA,DF,Nice,fr Ligue 1,19,8.5,2.47,21,1.29,11,1.29,11,72.7,33.3,7.65,65,2.82,24,1.65,14,0.35,3,5,13,2.12,27.8,0.35,3,12
Federico Peluso\Federico-Peluso,it ITA,DF,Sassuolo,it Serie A,35,16.8,1.49,25,0.83,14,0.6,10,100,34.1,4.52,76,2.56,43,1.37,23,1.13,19,29,13,2.5,69,0,0,122
Rubén Peña\Ruben-Pena,es ESP,DF,Villarreal,es La Liga,28,21.2,2.26,48,1.51,32,2.5,53,35.8,27.9,8.25,175,8.02,170,1.75,37,1.84,39,20,20,1.89,50,1.6,34,390
Victor Perea\Victor-Perea,es ESP,DF,Espanyol,es La Liga,19,14.1,1.35,19,0.64,9,1.35,19,47.4,23.6,5.04,71,6.31,89,1.35,19,1.42,20,9,22,2.2,29,0.71,10,257
Gonzalo Pereira Cejudo\Gonzalo-Pereira-Cejudo,es ESP,DF,Levante,es La Liga,22,0.1,0,0,0,0,0,0,,0,0,0,10,1,0,0,0,0,0,0,0,,0,0,2
Ricardo Pereira\Ricardo-Pereira,pt POR,DF,Leicester City,eng Premier League,25,28,4.36,122,2.43,68,4.32,121,46.3,31.3,9.71,272,6.75,189,1.54,43,1.57,44,38,41,2.82,48.1,2.32,65,747
Bruno Peres\Bruno-Peres,br BRA,DF,Roma,it Serie A,29,11.7,1.45,17,0.77,9,1.62,19,36.8,26.2,4.62,54,3.59,42,1.37,16,1.11,13,2,9,0.94,18.2,1.03,12,288
Romain Perraud\Romain-Perraud,fr FRA,DF,Brest,fr Ligue 1,21,18.6,1.77,33,1.02,19,1.77,33,42.4,32.1,8.33,155,4.78,89,1.4,26,1.18,22,14,32,2.47,30.4,1.02,19,358
Loïc Perrin\Loic-Perrin,fr FRA,DF,Saint-Étienne,fr Ligue 1,33,19,1.58,30,1.16,22,0.79,15,66.7,39.2,4.53,86,3.05,58,2,38,1.21,23,63,39,5.37,61.8,0.26,5,19
Lucas Perrin\Lucas-Perrin,fr FRA,DF,Marseille,fr Ligue 1,20,4,2.75,11,1.5,6,2.25,9,44.4,37.8,5.5,22,3.5,14,2,8,2.25,9,18,14,8,56.3,1.25,5,7
Germán Pezzella\German-Pezzella,ar ARG,DF,Fiorentina,it Serie A,28,31.4,1.37,43,0.89,28,0.92,29,37.9,38.9,6.15,193,2.32,73,1.78,56,1.21,38,82,37,3.79,68.9,0.57,18,81
Giuseppe Pezzella\Giuseppe-Pezzella,it ITA,DF,Udinese,it Serie A,21,0.9,0,0,0,0,0,0,,25,8.89,8,0,0,1.11,1,0,0,2,0,2.22,100,0,0,19
Giuseppe Pezzella\Giuseppe-Pezzella,it ITA,DF,Parma,it Serie A,21,10.5,1.62,17,0.57,6,1.9,20,35,31.5,7.81,82,3.52,37,0.57,6,1.62,17,9,11,1.9,45,1.24,13,161
Rayan Philippe\Rayan-Philippe,fr FRA,DFFW,Dijon,fr Ligue 1,18,0.3,3.33,1,3.33,1,3.33,1,0,0,0,0,10,3,3.33,1,3.33,1,0,1,3.33,0,3.33,1,5
Pablo Piatti\Pablo-Piatti,ar ARG,DFMF,Espanyol,es La Liga,30,0.6,3.33,2,1.67,1,3.33,2,50,36.4,1.67,1,5,3,0,0,0,0,0,0,0,,1.67,1,23
Cristiano Piccini\Cristiano-Piccini,it ITA,DF,Valencia,es La Liga,26,0.8,5,4,0,0,3.75,3,66.7,18.8,6.25,5,11.25,9,2.5,2,1.25,1,1,0,1.25,100,1.25,1,19
Stefano Piccinini\Stefano-Piccinini,it ITA,DF,Sassuolo,it Serie A,16,0.1,0,0,0,0,0,0,,33.3,20,2,0,0,0,0,10,1,0,0,0,,0,0,4
Jérémy Pied\Jeremy-Pied,fr FRA,DF,Lille,fr Ligue 1,30,5,4.2,21,2.4,12,4.4,22,54.5,28.6,7,35,9.2,46,1.4,7,1.6,8,4,8,2.4,33.3,2,10,102
Ronaël Pierre-Gabriel\Ronael-Pierre-Gabriel,fr FRA,DF,Mainz 05,de Bundesliga,21,6.4,3.13,20,1.25,8,2.03,13,38.5,28.4,8.28,53,4.69,30,1.41,9,0.78,5,5,4,1.41,55.6,1.25,8,55
Erik Pieters\Erik-Pieters,nl NED,DFMF,Burnley,eng Premier League,30,20.9,2.78,58,1.96,41,2.97,62,35.5,24.6,7.75,162,6.75,141,1.29,27,1,21,33,15,2.3,68.8,1.91,40,322
Simone Pinna\Simone-Pinna,it ITA,DF,Cagliari,it Serie A,21,1,2,2,2,2,0,0,,21.4,4,4,8,8,5,5,2,2,1,0,1,100,0,0,21
Pipa\Pipa,es ESP,DF,Espanyol,es La Liga,21,5.3,2.45,13,1.13,6,2.08,11,54.5,32.5,7.36,39,5.09,27,1.13,6,1.13,6,8,8,3.02,50,0.94,5,91
Gerard Piqué\Gerard-Pique,es ESP,DF,Barcelona,es La Liga,32,34.4,1.08,37,0.64,22,0.84,29,48.3,34,3.72,128,3.17,109,1.1,38,0.93,32,128,40,4.88,76.2,0.44,15,95
Lorenzo Pirola\Lorenzo-Pirola,it ITA,DF,Inter,it Serie A,17,0.1,0,0,0,0,0,0,,33.3,30,3,0,0,10,1,0,0,0,0,0,,0,0,0
Fabio Pisacane\Fabio-Pisacane,it ITA,DF,Cagliari,it Serie A,33,27.1,1.48,40,0.92,25,1.62,44,43.2,35.3,5.57,151,2.4,65,1.03,28,1.22,33,46,51,3.58,47.4,0.92,25,64
Lukasz Piszczek\Lukasz-Piszczek,pl POL,DF,Dortmund,de Bundesliga,34,23.4,2.09,49,1.28,30,2.09,49,59.2,37.3,5.64,132,3.68,86,1.32,31,0.77,18,32,27,2.52,54.2,0.85,20,292
Marvin Plattenhardt\Marvin-Plattenhardt,de GER,DF,Hertha BSC,de Bundesliga,27,15.5,1.61,25,0.97,15,1.68,26,53.8,23.3,7.42,115,3.74,58,0.77,12,0.71,11,14,13,1.74,51.9,0.77,12,210
Thomas Pledl\Thomas-Pledl,de GER,DFMF,Düsseldorf,de Bundesliga,25,1,4,4,1,1,2,2,50,16.7,17,17,15,15,0,0,1,1,0,2,2,0,1,1,28
Marin Pongracic\Marin-Pongracic,hr CRO,DF,Wolfsburg,de Bundesliga,21,10.3,1.94,20,1.26,13,1.17,12,66.7,48.1,3.88,40,3.69,38,1.75,18,1.65,17,30,14,4.27,68.2,0.39,4,17
Pedro Porro\Pedro-Porro,es ESP,DFMF,Valladolid,es La Liga,19,8.2,2.2,18,1.71,14,2.44,20,45,24.5,6.59,54,4.02,33,0.98,8,0.49,4,5,9,1.71,35.7,1.34,11,108
Stefan Posch\Stefan-Posch,at AUT,DF,Hoffenheim,de Bundesliga,22,25.6,3.32,85,1.64,42,2.54,65,52.3,30.9,8.28,212,4.14,106,1.56,40,1.56,40,58,47,4.1,55.2,1.21,31,180
Sergio Postigo\Sergio-Postigo,es ESP,DF,Levante,es La Liga,30,26.4,1.21,32,0.8,21,0.83,22,40.9,31.5,5.08,134,2.46,65,1.33,35,0.83,22,35,27,2.35,56.5,0.49,13,42
Maxime Poundjé\Maxime-Poundje,fr FRA,DF,Bordeaux,fr Ligue 1,26,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,,,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0,1,#DIV/0!,0,#DIV/0!,0,1
Alejandro Pozo Pozo\Alejandro-Pozo-Pozo,es ESP,DF,Mallorca,es La Liga,20,16.6,2.35,39,1.93,32,2.59,43,41.9,29.7,10,166,5.18,86,1.39,23,1.27,21,4,17,1.27,19,1.51,25,325
Percy Prado\Percy-Prado,pe PER,DF,Nantes,fr Ligue 1,23,2.1,2.86,6,1.43,3,2.86,6,33.3,26.2,11.43,24,6.67,14,0.48,1,0.95,2,1,2,1.43,33.3,1.9,4,11
Sebastian Prödl\Sebastian-Prodl,at AUT,DF,Watford,eng Premier League,32,0.6,0,0,0,0,0,0,,0,3.33,2,1.67,1,0,0,1.67,1,4,1,8.33,80,0,0,2
Quini\Quini,es ESP,DF,Granada,es La Liga,29,8,3.13,25,1.5,12,2.25,18,55.6,33,7.38,59,4.88,39,1.25,10,1,8,8,6,1.75,57.1,1,8,116
Xavi Quintillà\Xavi-Quintilla,es ESP,DF,Villarreal,es La Liga,22,17.5,1.43,25,0.63,11,0.86,15,60,30.4,5.14,90,4.91,86,0.74,13,1.49,26,8,29,2.11,21.6,0.34,6,325
?tefan Radu\Stefan-Radu,ro ROU,DF,Lazio,it Serie A,32,25.6,1.99,51,1.09,28,1.99,51,54.9,36.1,6.21,159,3.13,80,1.25,32,1.21,31,34,28,2.42,54.8,0.9,23,236
Rafael\Rafael,br BRA,DF,Lyon,fr Ligue 1,29,7.8,3.33,26,2.31,18,2.31,18,55.6,28.8,7.82,61,8.21,64,0.9,7,2.05,16,16,11,3.46,59.3,1.03,8,121
Baba Rahman\Baba-Rahman,gh GHA,DF,Mallorca,es La Liga,25,1.2,1.67,2,1.67,2,0,0,,40,4.17,5,0.83,1,0.83,1,0.83,1,1,3,3.33,25,0,0,25
Antonio Raillo\Antonio-Raillo,es ESP,DF,Mallorca,es La Liga,27,30.8,1.4,43,1.04,32,0.68,21,71.4,39.1,6.27,193,1.88,58,0.75,23,1.04,32,63,34,3.15,64.9,0.19,6,47
Iván Ramis\Ivan-Ramis,es ESP,DF,Eibar,es La Liga,34,5.1,1.18,6,0.39,2,1.18,6,16.7,28,2.16,11,2.55,13,0.78,4,0.78,4,20,8,5.49,71.4,0.98,5,7
Sergio Ramos\Sergio-Ramos,es ESP,DF,Real Madrid,es La Liga,33,33.5,1.79,60,1.37,46,1.37,46,54.3,38.3,4.51,151,3.04,102,1.46,49,1.55,52,66,45,3.31,59.5,0.63,21,112
Luca Ranieri\Luca-Ranieri,it ITA,DF,Fiorentina,it Serie A,20,2.6,1.54,4,0.77,2,1.54,4,50,47.6,4.62,12,2.69,7,0.77,2,1.92,5,6,3,3.46,66.7,0.77,2,22
Andrea Ranocchia\Andrea-Ranocchia,it ITA,DF,Inter,it Serie A,31,5.8,3.28,19,1.55,9,1.21,7,57.1,37.3,10.52,61,6.72,39,1.55,9,1.55,9,26,5,5.34,83.9,0.52,3,10
Arkadiusz Reca\Arkadiusz-Reca,pl POL,DF,SPAL,it Serie A,24,21.4,2.15,46,1.26,27,2.62,56,26.8,29.5,6.21,133,5.93,127,1.36,29,1.21,26,16,17,1.54,48.5,1.92,41,387
Vasco Regini\Vasco-Regini,it ITA,DF,Sampdoria,it Serie A,28,1.9,2.11,4,0.53,1,1.05,2,0,30.8,8.95,17,4.74,9,0.53,1,1.05,2,3,2,2.63,60,1.05,2,5
Vasco Regini\Vasco-Regini,it ITA,DF,Parma,it Serie A,28,0.6,0,0,0,0,0,0,,0,3.33,2,1.67,1,0,0,0,0,2,0,3.33,100,0,0,0
Sergio Reguilón\Sergio-Reguilon,es ESP,DF,Sevilla,es La Liga,22,27.9,2.04,57,1.18,33,2.26,63,46,28.5,5.13,143,5.13,143,1.36,38,2.01,56,42,34,2.72,55.3,1.22,34,703
Ken Reichel\Ken-Reichel,de GER,DF,Union Berlin,de Bundesliga,32,5.9,1.69,10,1.19,7,2.37,14,35.7,20,6.27,37,5.08,30,1.53,9,1.53,9,10,10,3.39,50,1.53,9,88
Karim Rekik\Karim-Rekik,nl NED,DF,Hertha BSC,de Bundesliga,24,14,1.21,17,0.79,11,0.64,9,44.4,29.5,5.79,81,3.21,45,1.36,19,0.64,9,29,14,3.07,67.4,0.36,5,36
Panagiotis Retsos\Panagiotis-Retsos,gr GRE,DF,Leverkusen,de Bundesliga,20,1.3,3.85,5,0,0,6.15,8,12.5,30.4,9.23,12,6.15,8,1.54,2,0.77,1,2,0,1.54,100,5.38,7,11
Davide Riccardi\Davide-Riccardi,it ITA,DF,Lecce,it Serie A,23,0.2,0,0,0,0,15,3,0,0,5,1,5,1,0,0,0,0,0,1,5,0,15,3,0
Chris Richards\Chris-Richards,us USA,DF,Bayern Munich,de Bundesliga,19,0.1,0,0,0,0,0,0,,0,10,1,0,0,0,0,0,0,0,0,0,,0,0,0
Diego Rico\Diego-Rico,es ESP,DF,Bournemouth,eng Premier League,26,25.9,2.51,65,1.62,42,2.16,56,32.1,31,8.11,210,5.33,138,3.09,80,0.69,18,37,25,2.39,59.7,1.47,38,489
Jaïro Riedewald\Jairo-Riedewald,nl NED,DFMF,Crystal Palace,eng Premier League,22,8.5,1.76,15,1.41,12,1.53,13,61.5,33.9,5.88,50,6.12,52,1.76,15,0.35,3,6,2,0.94,75,0.59,5,101
Andrea Rispoli\Andrea-Rispoli,it ITA,DF,Lecce,it Serie A,30,21.2,1.37,29,1.04,22,1.89,40,45,24.9,4.67,99,3.58,76,1.7,36,1.04,22,23,13,1.7,63.9,1.04,22,360
Mihailo Ristic\Mihailo-Ristic,rs SRB,DFMF,Montpellier,fr Ligue 1,23,9,2.11,19,0.89,8,2.11,19,36.8,19.7,4.78,43,8,72,0.78,7,1.67,15,12,14,2.89,46.2,1.33,12,139
Matt Ritchie\Matt-Ritchie,sco SCO,DFMF,Newcastle Utd,eng Premier League,29,14.6,1.64,24,1.16,17,1.16,17,23.5,23.6,6.1,89,4.79,70,0.82,12,1.78,26,20,19,2.67,51.3,0.89,13,319
Rober\Rober,es ESP,DF,Levante,es La Liga,24,2.1,1.43,3,0.95,2,0.95,2,50,28,8.1,17,3.33,7,1.43,3,0.48,1,4,7,5.24,36.4,0.48,1,1
Sergi Roberto\Sergi-Roberto,es ESP,DFMF,Barcelona,es La Liga,27,26,1.04,27,0.73,19,0.92,24,37.5,29.5,2.35,61,4.27,111,1.31,34,0.69,18,22,24,1.77,47.8,0.58,15,751
Andrew Robertson\Andrew-Robertson,sco SCO,DF,Liverpool,eng Premier League,25,34.6,1.73,60,0.92,32,1.99,69,44.9,34.4,3.93,136,4.16,144,1.1,38,0.52,18,25,32,1.65,43.9,1.1,38,1221
Jack Robinson\Jack-Robinson,eng ENG,DF,Sheffield Utd,eng Premier League,25,5.6,1.61,9,0.54,3,1.79,10,50,30.2,5.71,32,3.39,19,1.25,7,0.71,4,13,7,3.57,65,0.89,5,35
Kévin Rodrigues\Kevin-Rodrigues,pt POR,DFMF,Leganés,es La Liga,25,21.5,2.93,63,1.49,32,2,43,41.9,29.3,6.33,136,7.53,162,1.4,30,1.95,42,22,47,3.21,31.9,1.16,25,433
Kévin Rodrigues\Kevin-Rodrigues,pt POR,DF,Real Sociedad,es La Liga,25,0.1,10,1,0,0,10,1,100,20,30,3,0,0,0,0,0,0,1,0,10,100,0,0,3
Ricardo Rodríguez\Ricardo-Rodriguez,ch SUI,DF,Milan,it Serie A,26,4.3,1.86,8,0.93,4,1.4,6,33.3,29.4,6.05,26,4.42,19,1.16,5,0.7,3,6,2,1.86,75,0.93,4,61
Agustín Rogel\Agustin-Rogel,uy URU,DF,Toulouse,fr Ligue 1,21,9.5,1.16,11,0.74,7,1.16,11,36.4,27.5,6,57,2.21,21,1.37,13,0.53,5,21,15,3.79,58.3,0.74,7,12
Rogério\Rogerio,br BRA,DF,Sassuolo,it Serie A,21,11.3,2.21,25,1.06,12,1.68,19,47.4,31.1,4.78,54,3.89,44,0.71,8,1.68,19,9,15,2.12,37.5,0.88,10,246
Marcos Rojo\Marcos-Rojo,ar ARG,DF,Manchester Utd,eng Premier League,29,1.4,1.43,2,0.71,1,2.14,3,0,25,4.29,6,6.43,9,0,0,1.43,2,3,1,2.86,75,2.14,3,12
Filippo Romagna\Filippo-Romagna,it ITA,DF,Sassuolo,it Serie A,22,16.4,0.85,14,0.43,7,0.24,4,50,32,3.96,65,2.07,34,0.61,10,0.37,6,24,19,2.62,55.8,0.12,2,26
Alessio Romagnoli\Alessio-Romagnoli,it ITA,DF,Milan,it Serie A,24,34.3,1.05,36,0.73,25,0.79,27,33.3,33.9,4.69,161,3.56,122,1.69,58,1.22,42,85,45,3.79,65.4,0.52,18,75
Cristian Romero\Cristian-Romero,ar ARG,DF,Genoa,it Serie A,21,28.6,2.13,61,1.29,37,1.89,54,35.2,32.7,10.28,294,5.66,162,2.59,74,1.68,48,76,39,4.02,66.1,1.22,35,109
Rômulo\Romulo,it ITA,DF,Genoa,it Serie A,32,0.2,5,1,0,0,5,1,0,0,15,3,5,1,0,0,5,1,0,0,0,,5,1,3
Facundo Roncaglia\Facundo-Roncaglia,ar ARG,DF,Osasuna,es La Liga,32,14.2,2.04,29,1.27,18,1.55,22,45.5,35.6,5.63,80,3.94,56,1.55,22,1.2,17,33,27,4.23,55,0.85,12,68
Roberto Rosales\Roberto-Rosales,ve VEN,DF,Leganés,es La Liga,30,20.8,1.88,39,1.11,23,2.21,46,47.8,30.5,4.38,91,4.62,96,1.35,28,1.59,33,24,42,3.17,36.4,1.15,24,400
Danny Rose\Danny-Rose,eng ENG,DF,Tottenham,eng Premier League,29,9.9,1.62,16,1.31,13,1.72,17,41.2,33,4.75,47,3.54,35,0.71,7,1.41,14,9,6,1.52,60,1.01,10,201
Danny Rose\Danny-Rose,eng ENG,DF,Newcastle Utd,eng Premier League,29,9.6,2.71,26,1.56,15,2.08,20,45,31.5,5.94,57,3.13,30,0.94,9,1.15,11,9,12,2.19,42.9,1.15,11,81
Luca Rossettini\Luca-Rossettini,it ITA,DF,Lecce,it Serie A,34,25.1,0.96,24,0.64,16,1.2,30,33.3,30.6,5.38,135,1.47,37,1.31,33,0.68,17,40,33,2.91,54.8,0.8,20,22
Jérôme Roussillon\Jerome-Roussillon,fr FRA,DF,Wolfsburg,de Bundesliga,26,26.3,1.6,42,1.03,27,1.37,36,44.4,36.1,5.78,152,5.97,157,1.1,29,0.68,18,18,25,1.63,41.9,0.76,20,432
Amir Rrahmani\Amir-Rrahmani,xk KVX,DF,Hellas Verona,it Serie A,25,35.9,1.75,63,1.09,39,1.48,53,50.9,28.8,7.55,271,4.74,170,0.89,32,1.39,50,122,43,4.6,73.9,0.72,26,211
Antonio Rüdiger\Antonio-Rudiger,de GER,DF,Chelsea,eng Premier League,26,19,2.26,43,1.26,24,1.11,21,61.9,38.6,5.21,99,3.37,64,0.68,13,1,19,61,26,4.58,70.1,0.42,8,67
Daniele Rugani\Daniele-Rugani,it ITA,DF,Juventus,it Serie A,25,7.7,1.04,8,0.78,6,0.65,5,80,28.3,2.86,22,4.03,31,1.17,9,1.04,8,39,14,6.88,73.6,0.13,1,14
Mário Rui\Mario-Rui,pt POR,DF,Napoli,it Serie A,28,21.8,1.7,37,1.15,25,1.24,27,44.4,35.4,4.13,90,3.9,85,1.01,22,1.01,22,16,22,1.74,42.1,0.69,15,700
Aitor Ruibal\Aitor-Ruibal,es ESP,DFFW,Leganés,es La Liga,23,13.6,2.21,30,1.32,18,3.09,42,31,27.8,6.91,94,8.46,115,0.59,8,2.06,28,8,20,2.06,28.6,2.13,29,249
Julian Ryerson\Julian-Ryerson,no NOR,DF,Union Berlin,de Bundesliga,21,4.1,1.95,8,1.22,5,2.2,9,44.4,34.4,5.37,22,5.37,22,1.22,5,1.95,8,7,8,3.66,46.7,1.22,5,65
Youssouf Sabaly\Youssouf-Sabaly,sn SEN,DF,Bordeaux,fr Ligue 1,26,10.1,2.38,24,1.88,19,2.08,21,38.1,33.6,6.14,62,5.94,60,1.78,18,1.09,11,11,11,2.18,50,1.29,13,173
Stefano Sabelli\Stefano-Sabelli,it ITA,DF,Brescia,it Serie A,26,35.2,2.95,104,1.7,60,3.95,139,34.5,25.6,11.65,410,6.9,243,1.59,56,0.97,34,43,31,2.1,58.1,2.59,91,595
Jorge Sáenz\Jorge-Saenz,es ESP,DFFW,Celta Vigo,es La Liga,22,4.1,0.98,4,0,0,0.49,2,0,25,7.07,29,5.12,21,2.44,10,1.71,7,9,10,4.63,47.4,0.49,2,4
Théo Sainte-Luce\Theo-Sainte-Luce,fr FRA,DFFW,Nîmes,fr Ligue 1,20,0.2,0,0,0,0,5,1,0,50,15,3,5,1,0,0,0,0,0,1,5,0,5,1,0
Romain Saïss\Romain-Saiss,ma MAR,DF,Wolves,eng Premier League,29,30.1,2.19,66,1,30,1.5,45,51.1,33.8,7.57,228,3.52,106,1.69,51,1.43,43,118,64,6.05,64.8,0.73,22,89
Bukayo Saka\Bukayo-Saka,eng ENG,DFFW,Arsenal,eng Premier League,17,19.5,1.95,38,1.13,22,1.69,33,39.4,29.2,5.38,105,5.44,106,0.62,12,1.13,22,12,37,2.51,24.5,1.03,20,405
Hiroki Sakai\Hiroki-Sakai,jp JPN,DF,Marseille,fr Ligue 1,29,18,3.5,63,1.94,35,2.67,48,52.1,35.1,4.67,84,5.67,102,1.28,23,1.33,24,37,20,3.17,64.9,1.28,23,333
Mamadou Sakho\Mamadou-Sakho,fr FRA,DF,Crystal Palace,eng Premier League,29,10.3,1.17,12,0.68,7,0.49,5,0,28.3,3.3,34,1.84,19,2.14,22,0.29,3,20,17,3.59,54.1,0.49,5,11
Jacopo Sala\Jacopo-Sala,it ITA,DF,SPAL,it Serie A,27,9.5,2.53,24,0.95,9,2.42,23,39.1,27.6,9.05,86,5.37,51,1.47,14,1.16,11,5,5,1.05,50,1.47,14,182
Bartosz Salamon\Bartosz-Salamon,pl POL,DF,SPAL,it Serie A,28,3.8,0.26,1,0.26,1,0.53,2,0,24,4.47,17,2.11,8,1.84,7,0.79,3,8,7,3.95,53.3,0.53,2,5
William Saliba\William-Saliba,fr FRA,DF,Saint-Étienne,fr Ligue 1,18,11,2.36,26,1.73,19,1,11,54.5,44.3,4.73,52,2.91,32,2,22,0.18,2,29,10,3.55,74.4,0.45,5,30
Mohammed Salisu\Mohammed-Salisu,gh GHA,DF,Valladolid,es La Liga,20,30.3,1.72,52,1.09,33,1.25,38,50,30.6,5.54,168,2.11,64,1.19,36,0.73,22,75,36,3.66,67.6,0.63,19,20
Junior Sambia\Junior-Sambia,fr FRA,DFMF,Montpellier,fr Ligue 1,22,6.5,2.15,14,1.85,12,2.62,17,41.2,28.1,6.77,44,8.46,55,1.08,7,2.15,14,7,9,2.46,43.8,1.54,10,126
Davinson Sánchez\Davinson-Sanchez,co COL,DF,Tottenham,eng Premier League,23,27,1.81,49,1.33,36,1.93,52,32.7,37.8,7,189,3.07,83,1.26,34,1,27,52,34,3.19,60.5,1.3,35,50
Germán Sánchez\German-Sanchez,es ESP,DF,Granada,es La Liga,32,25.5,0.78,20,0.47,12,0.71,18,33.3,29.2,2.51,64,1.8,46,1.25,32,1.14,29,73,58,5.14,55.7,0.47,12,28
Javi Sánchez\Javi-Sanchez,es ESP,DF,Valladolid,es La Liga,22,5.5,1.82,10,1.09,6,1.27,7,57.1,35.9,3.64,20,3.27,18,0.91,5,1.27,7,9,13,4,40.9,0.55,3,6
Manuel Sánchez\Manuel-Sanchez,es ESP,DF,Atlético Madrid,es La Liga,18,3.6,3.89,14,1.67,6,3.33,12,50,27.5,7.5,27,7.5,27,1.94,7,2.22,8,5,3,2.22,62.5,1.67,6,55
Alex Sandro\Alex-Sandro,br BRA,DF,Juventus,it Serie A,28,26.5,1.62,43,0.94,25,1.32,35,34.3,28.3,4.45,118,4.53,120,1.62,43,1.58,42,34,27,2.3,55.7,0.87,23,662
