Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,xAp90,xA,Progpassesp90,Prog,SuccPassperc,KP90,KP,Targ,PassesReceivedp90,Final3rd,PassesFinal3rdp90,SCA,SCA90,PrgDistp90,PrgDist,npxGSh,Att,Attdribblesp90,SuccDribblesPerc,xG
147,Taiwo Awoniyi\Taiwo-Awoniyi,ng NGA,FW,Mainz 05,de Bundesliga,21,1997,5.4,0.17,0.9,1.48,8,72.5,1.3,7,223,41.3,8,1.48,12,2.24,109.63,592,0.15,18,3.33,55.6,1.9
148,Florian Ayé\Florian-Aye,fr FRA,FWMF,Brescia,it Serie A,22,1997,15.3,0.03,0.5,1.18,18,71.1,0.46,7,623,40.72,11,0.72,30,1.96,55.56,850,0.12,33,2.16,66.7,3.1
149,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,eng Premier League,27,1991,35,0.06,2.1,1.4,49,81.9,0.74,26,1682,48.06,42,1.2,66,1.89,109.26,3824,0.11,117,3.34,64.1,6.2
150,Kaan Ayhan\Kaan-Ayhan,tr TUR,DF,Düsseldorf,de Bundesliga,24,1994,30.3,0.08,2.3,5.91,179,83.8,0.56,17,1419,46.83,132,4.36,28,0.92,156.9,4754,0.09,13,0.43,84.6,2.5
151,Ramon Azeez\Ramon-Azeez,ng NGA,MF,Granada,es La Liga,26,1992,15.1,0.02,0.3,1.59,24,80.2,0.4,6,422,27.95,26,1.72,15,0.99,58.48,883,0.1,8,0.53,37.5,1.9
152,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,eng Premier League,29,1989,35.9,0.16,5.7,8.02,288,79.9,1.2,43,2231,62.14,147,4.09,79,2.2,114.09,4096,0.09,24,0.67,62.5,2.6
153,Ludovic Baal\Ludovic-Baal,gf GUF,DF,Brest,fr Ligue 1,33,1986,9.2,0.08,0.7,9.24,85,80.8,1.52,14,448,48.7,42,4.57,20,2.18,204.46,1881,0.06,27,2.93,63,0.1
154,Iddrisu Baba\Iddrisu-Baba,gh GHA,MF,Mallorca,es La Liga,23,1996,32.3,0.01,0.2,3.22,104,81.4,0.19,6,1016,31.46,99,3.07,25,0.78,93.68,3026,0.06,54,1.67,85.2,0.9
155,Khouma Babacar\Khouma-Babacar,sn SEN,FW,Lecce,it Serie A,26,1993,15.8,0.04,0.7,1.14,18,73.5,0.76,12,665,42.09,11,0.7,45,2.85,79.81,1261,0.09,31,1.96,54.8,6.1
156,Carlos Bacca\Carlos-Bacca,co COL,FWMF,Villarreal,es La Liga,32,1986,7.6,0.07,0.5,0.66,5,75.9,0.53,4,267,35.13,5,0.66,12,1.57,41.97,319,0.18,11,1.45,54.5,3.1
157,Milan Badelj\Milan-Badelj,hr CRO,MF,Fiorentina,it Serie A,30,1989,17.6,0.06,1,4.43,78,81.6,1.14,20,801,45.51,87,4.94,43,2.44,89.94,1583,0.08,26,1.48,80.8,1.3
158,Matthias Bader\Matthias-Bader,de GER,DF,Köln,de Bundesliga,22,1997,0.1,0,0,0,0,57.1,0,0,4,40,0,0,0,0,270,27,,0,0,,0
159,Bastian Badu\Bastian-Badu,fr FRA,FW,Montpellier,fr Ligue 1,19,2000,0.1,0,0,0,0,100,0,0,12,120,1,10,0,0,10,1,0.04,0,0,,0
160,Alejandro Baena\Alejandro-Baena,es ESP,MF,Villarreal,es La Liga,18,2001,0.2,0,0,0,0,100,0,0,6,30,0,0,1,6,0,0,,0,0,,0
161,Stéphane Bahoken\Stephane-Bahoken,cm CMR,FW,Angers,fr Ligue 1,27,1992,10.1,0.08,0.8,0.89,9,73.5,0.99,10,473,46.83,7,0.69,20,1.98,59.21,598,0.11,13,1.29,23.1,3
162,Daniel Baier\Daniel-Baier,de GER,MF,Augsburg,de Bundesliga,35,1984,21.6,0.02,0.4,3.43,74,77.4,0.37,8,591,27.36,56,2.59,32,1.48,63.47,1371,0.03,15,0.69,73.3,0.5
163,Leon Bailey\Leon-Bailey,jm JAM,FWMF,Leverkusen,de Bundesliga,21,1997,12.1,0.21,2.6,5.37,65,67.8,1.74,21,615,50.83,17,1.4,41,3.39,179.83,2176,0.14,74,6.12,58.1,4.2
164,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,eng Premier League,25,1994,1.7,0,0,2.35,4,88.9,0,0,52,30.59,2,1.18,1,0.6,85.29,145,,1,0.59,100,0
165,Dénys Bain\Denys-Bain,fr FRA,DF,Brest,fr Ligue 1,26,1993,14.1,0,0,1.13,16,93.1,0,0,550,39.01,6,0.43,4,0.28,77.52,1093,0.18,1,0.07,0,0.5
166,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,eng Premier League,34,1984,4.5,0.18,0.8,6.89,31,80.4,1.33,6,149,33.11,6,1.33,12,2.67,62.44,281,0.04,2,0.44,50,0
167,Stefan Bajic\Stefan-Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,17,2001,1,0,0,0,0,100,0,0,4,4,0,0,0,0,8,8,,0,0,,0
168,Tiemoué Bakayoko\Tiemoue-Bakayoko,fr FRA,MF,Monaco,fr Ligue 1,24,1994,19.1,0.04,0.8,4.29,82,86.5,0.42,8,935,48.95,75,3.93,28,1.47,127.64,2438,0.07,56,2.93,55.4,1.8
169,Lewis Baker\Lewis-Baker,eng ENG,MF,Düsseldorf,de Bundesliga,24,1995,6.1,0.05,0.3,3.28,20,80,0.98,6,209,34.26,21,3.44,15,2.48,92.3,563,0.03,12,1.97,83.3,0.4
170,Mitchel Bakker\Mitchel-Bakker,nl NED,DF,Paris S-G,fr Ligue 1,19,2000,1,0,0,1,1,96.8,0,0,88,88,9,9,1,1,80,80,,1,1,100,0
171,Ridle Baku\Ridle-Baku,de GER,DFMF,Mainz 05,de Bundesliga,21,1998,26.1,0.12,3.1,6.21,162,71.7,0.96,25,916,35.1,63,2.41,65,2.49,116.9,3051,0.05,63,2.41,49.2,1.1
172,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,eng Premier League,27,1991,13.1,0,0,2.29,30,74.1,0,0,344,26.26,24,1.83,4,0.31,74.58,977,0.18,0,0,,1.8
173,Keita Baldé\Keita-Balde,sn SEN,FWMF,Monaco,fr Ligue 1,24,1995,9.5,0.08,0.8,2.53,24,70.2,0.32,3,502,52.84,12,1.26,22,2.31,80.74,767,0.15,12,1.26,50,4.2
174,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,eng Premier League,26,1993,38,0.07,2.6,4.42,168,75.6,0.71,27,1250,32.89,61,1.61,65,1.71,102.32,3888,0.07,67,1.76,64.2,0.9
175,Gareth Bale\Gareth-Bale,wal WAL,FWMF,Real Madrid,es La Liga,30,1989,12.1,0.11,1.3,3.8,46,75,0.91,11,644,53.22,18,1.49,33,2.73,152.98,1851,0.1,30,2.48,56.7,3.5
176,Mikel Balenziaga\Mikel-Balenziaga,es ESP,DF,Athletic Club,es La Liga,31,1988,6.3,0,0,6.19,39,72.9,0,0,159,25.24,10,1.59,2,0.32,67.62,426,0.02,2,0.32,50,0.1
177,Leonardo Balerdi\Leonardo-Balerdi,ar ARG,DFMF,Dortmund,de Bundesliga,20,1999,1.5,0,0,2,3,89.1,0,0,110,73.33,3,2,0,0,122,183,,3,2,33.3,0
178,Marco Ballarini\Marco-Ballarini,it ITA,MF,Udinese,it Serie A,18,2001,0,#DIV/0!,0,#DIV/0!,0,100,#DIV/0!,0,4,#DIV/0!,0,#DIV/0!,0,0,#DIV/0!,26,,0,#DIV/0!,,0
